GEOCODE,GEONAME,Total Pop.,Male,Female
3554058,McGarry,610,325,285
3554062,Larder Lake,730,385,345
3554066,Gauthier,140,70,70
3554068,Kirkland Lake,7980,3950,4035
3554094,"Timiskaming, Unorganized, West Part",3255,1685,1570
3556014,Black River-Matheson,2435,1215,1220
3556027,Timmins,41785,20675,21115
3556031,Iroquois Falls,4535,2235,2305
3556033,Abitibi 70,140,85,60
3556042,Cochrane,5320,2630,2690
3556048,Smooth Rock Falls,1330,680,650
3556052,Fauquier-Strickland,535,275,260
3556056,Moonbeam,1230,635,595
3556066,Kapuskasing,8290,4060,4225
3556070,Val Rita-Harty,765,400,360
3556073,Opasatika,225,110,115
3556076,Hearst,5070,2480,2595
3556077,Mattice-Val Côté,650,330,315
3556092,"Cochrane, Unorganized, North Part",2865,1480,1385
3556093,Fort Albany (Part) 67,755,410,350
3556094,Factory Island 1,1560,790,770
3556095,Constance Lake 92,590,295,295
3556102,New Post 69A,95,55,45
3556106,Moosonee,1480,725,750
3557001,Jocelyn,310,175,140
3557004,Hilton,305,155,145
3557006,Hilton Beach,170,90,80
3557008,St. Joseph,1240,610,630
3557011,Laird,1050,555,495
3557014,Tarbutt and Tarbutt Additional,535,270,270
3557016,Johnson,750,365,385
3557019,Plummer Additional,660,340,315
3557021,Bruce Mines,580,280,300
3557026,Thessalon 12,125,60,65
3557028,Thessalon,1285,620,665
3557035,Huron Shores,1665,850,815
3557038,Blind River,3470,1670,1805
3557039,Spanish,710,375,335
3557040,The North Shore,495,255,245
3557041,Elliot Lake,10745,5140,5600
3557051,"Macdonald, Meredith and Aberdeen Additional",1610,840,765
3557061,Sault Ste. Marie,73370,35425,37940
3557066,Prince,1010,525,485
3557071,Sagamok,1140,575,565
3557072,Serpent River 7,375,175,195
3557073,Mississagi River 8,410,200,205
3557074,Garden River 14,1125,550,575
3557076,Wawa,2905,1465,1440
3557078,Gros Cap 49,75,45,30
3557079,Dubreuilville,610,330,280
3557091,White River,645,340,305
3557095,"Algoma, Unorganized, North Part",5740,2995,2740
3557096,Hornepayne,980,525,455
3558001,Neebing,2055,1085,970
3558003,Fort William 52,980,500,480
3558004,Thunder Bay,107910,52645,55260
3558011,Oliver Paipoonge,5920,3030,2895
3558012,Gillies,470,245,230
3558016,O'Connor,665,340,325
3558019,Conmee,820,425,395
3558028,Shuniah,2800,1425,1370
3558034,Dorion,320,165,155
3558041,Red Rock,895,465,430
3558044,Nipigon,1645,825,825
3558051,Schreiber,1055,555,505
3558054,Terrace Bay,1610,810,800
3558059,Marathon,3270,1675,1600
3558060,Pic Mobert North,200,100,100
3558062,Pic River 50,445,215,230
3558063,Pays Plat 51,90,50,40
3558064,Lake Helen 53A,290,150,145
3558066,Manitouwadge,1940,990,945
3558067,Ginoogaming First Nation,210,105,100
3558068,Long Lake 58,385,205,180
3558069,Rocky Bay 1,185,100,80
3558075,Greenstone,4640,2375,2260
3558076,Aroland 83,365,195,170
3558080,Ojibway Nation of Saugeen (Savant Lake),90,45,40
3558085,Osnaburgh 63A,230,105,125
3558090,"Thunder Bay, Unorganized",5875,3110,2760
3559001,Atikokan,2755,1365,1385
3559011,Alberton,970,505,465
3559012,Fort Frances,7740,3725,4015
3559016,La Vallee,935,485,455
3559019,Emo,1330,645,690
3559024,Chapple,635,320,315
3559026,Manitou Rapids 11,285,150,135
3559031,Morley,485,245,240
3559040,Dawson,465,240,230
3559042,Rainy River,810,400,410
3559047,Lake of the Woods,230,120,110
3559051,Big Grassy River 35G,235,115,120
3559053,Saug-a-Gaw-Sing 1,100,45,50
3559060,Neguaguon Lake 25D,175,85,90
3559061,Rainy Lake 18C,115,65,50
3559063,Couchiching 16A,810,400,405
3559064,Rainy Lake 26A,160,80,85
3559066,Seine River 23A,265,135,130
3559068,Rainy Lake 17A,210,105,110
3559090,"Rainy River, Unorganized",1385,715,670
3560001,Ignace,1200,625,570
3560004,Whitefish Bay 32A,580,290,285
3560005,Whitefish Bay 33A,100,45,50
3560008,Sioux Narrows-Nestor Falls,565,295,275
3560010,Kenora,15095,7380,7715
3560021,Machin,970,500,465
3560024,Eagle Lake 27,225,110,115
3560027,Dryden,7745,3710,4040
3560032,Ear Falls,995,515,485
3560034,Sioux Lookout,5275,2600,2675
3560042,Red Lake,4105,2095,2015
3560046,Slate Falls,185,110,80
3560049,Pickle Lake,390,200,190
3560050,Fort Albany (Part) 67,1400,740,665
3560051,Attawapiskat 91A,1505,785,710
3560052,Marten Falls 65,255,140,110
3560053,Fort Hope 64,1015,520,490
3560054,Cat Lake 63C,565,310,255
3560055,Osnaburgh 63B,435,250,185
3560056,Lac Seul 28,970,535,440
3560057,Wabigoon Lake 27,165,85,85
3560058,English River 21,635,325,315
3560059,Weagamow Lake 87,885,415,470
3560061,Wabaseemoong,830,385,445
3560063,Sabaskong Bay 35D,370,185,185
3560064,Shoal Lake 34B2,150,80,65
3560065,Lake Of The Woods 37,60,30,30
3560066,Kenora 38B,420,220,205
3560067,Poplar Hill,475,230,245
3560068,Shoal Lake (Part) 39A,390,215,175
3560069,Rat Portage 38A,140,75,65
3560070,Deer Lake,865,470,400
3560071,Sandy Lake 88,2015,1075,945
3560075,Kitchenuhmaykoosib Aaki 84 (Big Trout Lake),1030,470,555
3560076,Sachigo Lake 1,515,255,255
3560078,Fort Severn 89,365,185,175
3560079,Webequie,775,365,415
3560080,North Spirit Lake,295,135,155
3560082,Shoal Lake (Part) 40,75,35,35
3560083,Whitefish Bay 34A,125,55,65
3560084,Wabauskang 21,65,40,30
3560085,Wunnumin 1,595,300,290
3560086,Summer Beaver,380,180,200
3560088,Wapekeka 2,440,205,230
3560089,The Dalles 38C,195,95,100
3560090,"Kenora, Unorganized",6740,3500,3235
3560091,Peawanuck,195,105,85
3560093,Neskantaga,235,120,115
3560095,Bearskin Lake,355,190,165
3560096,Kasabonika Lake,850,415,430
3560097,Muskrat Dam Lake,280,130,150
3560098,Kingfisher Lake 1,515,270,240
3560104,Kee-Way-Win,420,215,205
